County,POPEST
Alameda,1443741
Alpine,1208
Amador,35100
Butte,203171
Calaveras,40554
Colusa,18804
Contra Costa,948816
Del Norte,27507
El Dorado,156299
Fresno,799407
Glenn,26453
Humboldt,126518
Imperial,142361
Inyo,17945
Kern,661645
Kings,129461
Lake,58309
Lassen,33828
Los Angeles,9519338
Madera,123109
Marin,247289
Mariposa,17130
Mendocino,86265
Merced,210554
Modoc,9449
Mono,12853
Monterey,401762
Napa,124279
Nevada,92033
Orange,2846289
Placer,248399
Plumas,20824
Riverside,1545387
Sacramento,1223499
San Benito,53234
San Bernardino,1709434
San Diego,2813833
San Francisco,776733
San Joaquin,563598
San Luis Obispo,246681
San Mateo,707163
Santa Barbara,399347
Santa Clara,1682585
Santa Cruz,255602
Shasta,163256
Sierra,3555
Siskiyou,44301
Solano,394542
Sonoma,458614
Stanislaus,446997
Sutter,78930
Tehama,56039
Trinity,13022
Tulare,368021
Tuolumne,54504
Ventura,753197
Yolo,168660
Yuba,60219
