FIPS,County Name,medianHHI2018
1,Alameda,101744
3,Alpine,55384
5,Amador,58515
7,Butte,50945
9,Calaveras,62984
11,Colusa,57249
13,Contra Costa,101463
15,Del Norte,48518
17,El Dorado,81869
19,Fresno,52318
21,Glenn,47365
23,Humboldt,49471
25,Imperial,46633
27,Inyo,53793
29,Kern,51586
31,Kings,58255
33,Lake,45086
35,Lassen,57705
37,Los Angeles,67986
39,Madera,53632
41,Marin,122933
43,Mariposa,51402
45,Mendocino,51386
47,Merced,56169
49,Modoc,45227
51,Mono,66499
53,Monterey,69665
55,Napa,85624
57,Nevada,66681
59,Orange,89373
61,Placer,89175
63,Plumas,55079
65,Riverside,66793
67,Sacramento,69475
69,San Benito,80063
71,San Bernardino,63310
73,San Diego,78777
75,San Francisco Coun,110601
77,San Joaquin,63567
79,San Luis Obispo,70626
81,San Mateo,122930
83,Santa Barbara,75646
85,Santa Clara,125933
87,Santa Cruz,84213
89,Shasta,53908
91,Sierra,52308
93,Siskiyou,47560
95,Solano,82808
97,Sonoma,81002
99,Stanislaus,59616
101,Sutter,57879
103,Tehama,47572
105,Trinity,40680
107,Tulare,48763
109,Tuolumne,56500
111,Ventura,84170
113,Yolo,67804
115,Yuba,47504
