GRID_ID,ID,distance
0.0,USW00024286,0.41934482956151975
1.0,USW00024213,0.17120946349561592
2.0,USC00048045,0.041118408159231505
3.0,USR0000CCOO,0.3178768332485121
6.0,USR0000CSOM,0.046465893563388636
7.0,USC00049694,0.11108936791414047
8.0,USR0000CFRI,0.18849112750662436
9.0,USC00043161,0.5204535955360208
10.0,USR0000CMCG,0.1523415338999926
11.0,USR0000CBOO,0.14405313697306574
12.0,USC00043191,0.1480308137057282
13.0,USR0000CCAL,0.14975531791341606
14.0,USC00049490,0.21575825117809327
15.0,USR0000CPAT,0.16868586528523358
16.0,USR0000CTHO,0.2991601194083333
17.0,USC00047109,0.27064733787328227
18.0,USR0000CLYO,0.22984392392920924
19.0,USC00043578,0.07067592897009335
20.0,USC00044500,0.27689873344166843
22.0,USC00045983,0.12414043574755722
23.0,USR0000CSIM,0.17872390506481994
24.0,USW00024257,0.07366778173558587
25.0,USW00024216,0.17655389426027202
26.0,USC00049699,0.06696798322936313
27.0,USR0000CKNO,0.21141127515871194
28.0,USC00045360,0.1255178415352891
29.0,USC00040693,0.1186212689612523
30.0,USC00047339,0.021315142389716588
31.0,USC00040673,0.055687637806639566
33.0,USC00044838,0.29742067089978375
34.0,USR0000CSOL,0.03310314878998309
35.0,USR0000CMAN,0.0837905234572835
36.0,USC00042402,0.10369491280652875
37.0,USC00046521,0.06738720523973536
38.0,USC00046194,0.09335337470930188
39.0,USW00023232,0.11767450433566762
40.0,USC00040232,0.14090002757550205
41.0,USC00045933,0.14776053447418144
42.0,USC00043417,0.05593025412200138
43.0,USC00041534,0.1142119657803037
44.0,USC00040790,0.3790848056633275
46.0,USC00040029,0.23414205851171693
47.0,USC00040029,0.24943805993899562
48.0,USR0000CWES,0.17243027488537588
49.0,USR0000CQUI,0.03226580228395078
50.0,USC00048606,0.15489902590487936
51.0,USC00041912,0.10351999819152556
52.0,USR0000CBLT,0.10544870865815473
53.0,USW00023237,0.272082444326711
54.0,USC00049073,0.11974626675231247
55.0,USR0000CLAB,0.1084743096672493
56.0,USR0000CHER,0.14664673546351223
57.0,USC00044555,0.3007807060596264
58.0,USC00045866,0.12418791700675724
59.0,USW00023273,0.2805059518650614
61.0,USS0020H06S,0.15832694922196028
62.0,USC00044374,0.32507167041677193
63.0,USC00048702,0.3299852223604757
64.0,USC00047085,0.21752978315585428
65.0,USS0020K03S,0.05652610926244221
66.0,USR0000CHEL,0.11757186618223223
67.0,USC00041277,0.21796441293670527
68.0,USC00048353,0.056855034920617206
69.0,USC00042920,0.11896403760464958
70.0,USC00045233,0.2996653580347396
71.0,USC00043083,0.20853685857227322
72.0,USR0000CPAR,0.11063246998919368
73.0,USR0000CLAP,0.15880785966567945
74.0,USC00049111,0.07439213141527812
75.0,USC00047681,0.09441756166633186
76.0,USR0000CSRI,0.17996338321853764
82.0,USS0019L03S,0.045217834441477416
83.0,USS0019L06S,0.0908387981026583
84.0,USC00043939,0.09015118203717866
85.0,USC00048380,0.06967019055973836
86.0,USC00043261,0.018686708003970504
87.0,USC00043747,0.16527009233090545
88.0,USC00042012,0.1845782987714638
89.0,USC00045151,0.18173800338466947
90.0,USC00046154,0.034142774057666844
91.0,USC00043402,0.024857750741788486
92.0,USR0000CSCI,0.021877278405151416
93.0,USR0000CSCI,0.7785584121783381
94.0,USC00041072,0.09536858203641659
95.0,USC00044881,0.05742335193432988
96.0,USC00044881,0.47220666571828995
97.0,USC00040449,0.07633650892289702
98.0,USC00044890,0.09394517139135669
99.0,USR0000CFOU,0.1584755963976647
100.0,USW00023155,0.006849350439969712
101.0,USC00044863,0.21216338512527033
102.0,USC00046399,0.18145907986672316
103.0,USW00093111,0.13419192218741796
105.0,USW00023157,0.5384618117770091
106.0,USW00023157,0.1330423778307142
107.0,USW00023157,0.39606688371228854
108.0,USC00045026,0.33786295678661254
109.0,USC00043463,0.35911038037173604
110.0,USC00043463,0.4017477011462083
111.0,USC00042941,0.2103865576976973
112.0,USC00046602,0.06514961061715636
113.0,USW00023174,0.03727196418372435
114.0,USW00023191,0.04331517075474375
115.0,USW00023191,0.5056770077705321
116.0,USW00023157,0.44861087865687954
117.0,USR0000CHNM,0.5211379154975008
118.0,USR0000CHNM,0.32516225328018417
119.0,USW00093104,0.28246447995161317
120.0,USC00047253,0.14872746166549403
121.0,USC00045756,0.3999122414057088
122.0,USC00046773,0.15818023515082097
123.0,USC00040192,0.05976078800334657
124.0,USC00046175,0.2735605295541703
125.0,USR0000CHNM,0.3861169232663944
126.0,USC00042319,0.2805052249688878
127.0,USC00049035,0.30947334012211924
128.0,USC00049035,0.40771764994171394
129.0,USC00040521,0.12737371298421396
130.0,USC00049325,0.2009522267672534
131.0,USW00023119,0.10930235676131825
132.0,USC00049378,0.13630404645956126
133.0,USW00093107,0.07703158198858617
135.0,USC00042319,0.270915663934096
136.0,USC00042319,0.6208415224214272
137.0,USW00023161,0.6451714404262608
138.0,USW00023161,0.2831281983179864
139.0,USR0000CYUC,0.28600224881495284
140.0,USC00046635,0.035156695101802644
141.0,USC00040983,0.1300963231396495
142.0,USC00042239,0.17950658879671919
144.0,USC00042319,1.0774645117722397
145.0,USC00040176,0.8866103943311863
146.0,USC00040176,0.3782037566246105
147.0,USC00040176,0.21134556471435073
